"book_color","book_number","short_name","long_name"
"#ccccff",10,"Gen","Genesis"
"#ccccff",20,"Ex","Exodus"
"#ccccff",30,"Lev","Levitikus"
"#ccccff",40,"Num","Numeri"
"#ccccff",50,"Dtn","Deuteronomium"
"#ffcc99",60,"Jos","Josua"
"#ffcc99",70,"Ri","Richter"
"#ffcc99",80,"Rut","Rut"
"#ffcc99",90,"1 Sam","1 Samuel"
"#ffcc99",100,"2 Sam","2 Samuel"
"#ffcc99",110,"1 Kön","1 Könige"
"#ffcc99",120,"2 Kön","2 Könige"
"#ffcc99",130,"1 Chr","1 Chronik"
"#ffcc99",140,"2 Chr","2 Chronik"
"#ffcc99",150,"Esra","Esra"
"#ffcc99",160,"Neh","Nehemia"
"#ffcc99",190,"Est","Ester"
"#66ff99",220,"Ijob","Ijob"
"#66ff99",230,"Ps","Psalmen"
"#66ff99",240,"Spr","Sprüche"
"#66ff99",250,"Koh","Kohelet"
"#66ff99",260,"Hld","Hohelied"
"#ff9fb4",290,"Jes","Jesaja"
"#ff9fb4",300,"Jer","Jeremia"
"#ff9fb4",310,"Klgl","Klagelieder"
"#ff9fb4",330,"Ez","Ezechiel"
"#ff9fb4",340,"Dan","Daniel"
"#ffff99",350,"Hos","Hosea"
"#ffff99",360,"Joël","Joël"
"#ffff99",370,"Am","Amos"
"#ffff99",380,"Obd","Obadja"
"#ffff99",390,"Jona","Jona"
"#ffff99",400,"Mi","Micha"
"#ffff99",410,"Nah","Nahum"
"#ffff99",420,"Hab","Habakuk"
"#ffff99",430,"Zeph","Zephanja"
"#ffff99",440,"Hag","Haggai"
"#ffff99",450,"Sach","Sacharja"
"#ffff99",460,"Mal","Maleachi"
"#ff6600",470,"Mt","Matthäus"
"#ff6600",480,"Mk","Markus"
"#ff6600",490,"Lk","Lukas"
"#ff6600",500,"Joh","Johannes"
"#00ffff",510,"Apg","Apostelgeschichte"
"#ffff00",650,"Hebr","Hebräer"
"#ffff00",520,"Röm","Römer"
"#ffff00",530,"1 Kor","1 Korinther"
"#ffff00",540,"2 Kor","2 Korinther"
"#ffff00",550,"Gal","Galater"
"#ffff00",560,"Eph","Epheser"
"#ffff00",570,"Phil","Philipper"
"#ffff00",580,"Kol","Kolosser"
"#ffff00",590,"1 Thess","1 Thessalonicher"
"#ffff00",600,"2 Thess","2 Thessalonicher"
"#ffff00",610,"1 Tim","1 Timotheus"
"#ffff00",620,"2 Tim","2 Timotheus"
"#ffff00",630,"Tit","Titus"
"#ffff00",640,"Phlm","Philemon"
"#00ff00",660,"Jak","Jakobus"
"#00ff00",670,"1 Petr","1 Petrus"
"#00ff00",680,"2 Petr","2 Petrus"
"#00ff00",690,"1 Joh","1 Johannes"
"#00ff00",700,"2 Joh","2 Johannes"
"#00ff00",710,"3 Joh","3 Johannes"
"#00ff00",720,"Jud","Judas"
"#ff7c80",730,"Offb","Offenbarung"
